"","eventid","iyear","imonth","iday","nkill","nwound","country_txt","gname","gsubname","gname2","gsubname2"
"40",200309230003,2003,9,23,4,4,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"41",200310120001,2003,10,12,7,35,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"42",200311010003,2003,11,1,0,0,"Afghanistan","Al-Qaida",NA,NA,NA
"43",200311080004,2003,11,8,17,122,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"44",200311200005,2003,11,20,16,224,"Turkey","Al-Qaida",NA,"Great Eastern Islamic Raiders Front (IBDA-C)",NA
"45",200311200006,2003,11,20,16,224,"Turkey","Al-Qaida",NA,"Great Eastern Islamic Raiders Front (IBDA-C)",NA
"46",200312250002,2003,12,25,15,46,"Pakistan","Al-Qaida",NA,NA,NA
"47",200403110001,2004,3,11,37,450,"Spain","Al-Qaida",NA,NA,NA
"48",200403110003,2004,3,11,73,450,"Spain","Al-Qaida",NA,NA,NA
"49",200403110004,2004,3,11,19,450,"Spain","Al-Qaida",NA,NA,NA
"50",200403110005,2004,3,11,0,0,"Spain","Al-Qaida",NA,NA,NA
"51",200403110006,2004,3,11,0,0,"Spain","Al-Qaida",NA,NA,NA
"52",200403110007,2004,3,11,62,450,"Spain","Al-Qaida",NA,NA,NA
"53",200403240001,2004,3,24,0,2,"Pakistan","Al-Qaida",NA,NA,NA
"54",200405010001,2004,5,1,10,25,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"55",200405290002,2004,5,29,22,26,"Saudi Arabia","Al-Qaida in the Arabian Peninsula (AQAP)",NA,NA,NA
"56",200406040004,2004,6,4,0,3,"Pakistan","Al-Qaida",NA,NA,NA
"57",200406100005,2004,6,10,24,NA,"Pakistan","Al-Qaida",NA,NA,NA
"58",200406130001,2004,6,13,1,0,"Saudi Arabia","Al-Qaida in the Arabian Peninsula (AQAP)",NA,NA,NA
